Time,GPS_Lat,GPS_Lon,GPS_Alt,Target_Lat,Target_Lon,Target_Alt
1751173446.5608602,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.6609175,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.7609751,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.861032,36.0757726,136.2132939,0.509,36.0757719,136.213294,0.5
1751173446.9610898,36.0757722,136.2132941,0.515,36.0757719,136.213294,0.5
1751173447.0611467,36.0757722,136.2132941,0.515,36.0757719,136.213294,0.5
1751173447.1612048,36.0757722,136.2132941,0.515,36.0757719,136.213294,0.5
1751173447.2612615,36.0757722,136.2132941,0.515,36.0757719,136.213294,0.5
1751173447.3613179,36.0757722,136.2132941,0.515,36.0757719,136.213294,0.5
1751173447.4613745,36.0757722,136.2132941,0.515,36.0757719,136.213294,0.5
1751173447.5614321,36.0757722,136.2132941,0.515,36.0757719,136.213294,0.5
1751173447.6614892,36.0757722,136.2132941,0.515,36.0757719,136.213294,0.5
1751173447.7615469,36.0757722,136.2132941,0.515,36.075771,136.213294,0.5
1751173447.8616035,36.0757722,136.2132941,0.515,36.075771,136.213294,0.5
1751173447.9616601,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.0617168,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.1617746,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.2618315,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.361889,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.4619455,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.562003,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.6620595,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.7621164,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.8621736,36.0757718,136.2132941,0.512,36.075771,136.213294,0.5
1751173448.9622307,36.0757716,136.213294,0.509,36.075771,136.213294,0.5
1751173449.062287,36.0757716,136.213294,0.509,36.075771,136.213294,0.5
1751173449.1623435,36.0757716,136.213294,0.509,36.075771,136.213294,0.5
1751173449.2624002,36.0757716,136.213294,0.509,36.075771,136.213294,0.5
1751173449.3624563,36.0757716,136.213294,0.509,36.075771,136.213294,0.5
1751173449.4625127,36.0757716,136.213294,0.509,36.075771,136.213294,0.5
1751173449.5625687,36.0757716,136.213294,0.509,36.075771,136.213294,0.5
1751173449.6626253,36.0757716,136.213294,0.509,36.0757701,136.213294,0.5
1751173449.7626824,36.0757716,136.213294,0.509,36.0757701,136.213294,0.5
1751173449.8627388,36.0757716,136.213294,0.509,36.0757701,136.213294,0.5
1751173449.9627962,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.0628526,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.162909,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.2629657,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.363022,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.4630787,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.5631423,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
